order_number,order_quantity,product_price,order_line_number,sales,order_date,days_since,order_status,product_line,product_msrp,product_code,customer_name,phone,address,city,postal_code,country,contact_last_name,contact_first_name,deal_size
10150,45,244.3,8,10993,2018-09-19,649,Shipped,Classic Cars,214,S10_1949,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,79903,Singapore,Natividad,Eric,Large
10163,21,231.44,1,4860,2018-10-20,619,Shipped,Classic Cars,214,S10_1949,Classic Legends Inc.,2125558493,5905 Pompton St.,NYC,10022,USA,Hernandez,Maria,Medium
10174,34,235.73,4,8014,2018-11-06,603,Shipped,Classic Cars,214,S10_1949,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,South Brisbane,4101,Australia,Calaghan,Tony,Large
10183,23,233.59,8,5372,2018-11-13,597,Shipped,Classic Cars,214,S10_1949,"Classic Gift Ideas, Inc",2155554695,782 First Street,Philadelphia,71270,USA,Cervantes,Francisca,Medium
10194,42,173.58,11,7290,2018-11-25,586,Shipped,Classic Cars,214,S10_1949,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Lyon,69004,France,Saveley,Mary,Large
10206,47,192.87,6,9064,2018-12-05,577,Shipped,Classic Cars,214,S10_1949,Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,Vancouver,V3F 2K1,Canada,Tannamuri,Yoshi,Large
10215,35,173.58,3,6075,2019-01-29,523,Shipped,Classic Cars,214,S10_1949,West Coast Collectables Co.,3105553722,3675 Furth Circle,Burbank,94019,USA,Thompson,Steve,Medium
10228,29,222.87,2,6463,2019-03-10,484,Shipped,Classic Cars,214,S10_1949,Cambridge Collectables Co.,6175555555,4658 Baden Av.,Cambridge,51247,USA,Tseng,Kyung,Medium
10245,34,180.01,9,6120,2019-05-04,430,Shipped,Classic Cars,214,S10_1949,Super Scale Inc.,2035559545,567 North Pendale Street,New Haven,97823,USA,Murphy,Leslie,Medium
10258,32,240.02,6,7680,2019-06-15,389,Shipped,Classic Cars,214,S10_1949,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,106-0032,Japan,Shimamura,Akiko,Large
10270,21,233.59,9,4905,2019-07-19,356,Shipped,Classic Cars,214,S10_1949,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia,Huxley,Adrian,Medium
10280,34,235.73,2,8014,2019-08-17,328,Shipped,Classic Cars,214,S10_1949,Amica Models & Co.,011-4988555,Via Monte Bianco 34,Torino,10100,Italy,Accorti,Paolo,Large
10291,37,192.87,11,7136,2019-09-08,307,Shipped,Classic Cars,214,S10_1949,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Boras,S-844 67,Sweden,Larsson,Maria,Large
10304,47,216.44,6,10172,2019-10-11,275,Shipped,Classic Cars,214,S10_1949,Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe",Versailles,78000,France,Tonini,Daniel,Large
10312,48,242.16,3,11623,2019-10-21,266,Shipped,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Large
10322,40,150.01,1,6000,2019-11-04,253,Shipped,Classic Cars,214,S10_1949,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Nashua,62005,USA,Young,Valarie,Medium
10347,30,131.49,1,3944,2019-11-29,229,Shipped,Classic Cars,214,S10_1949,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,Medium
10357,32,177.87,10,5691,2019-12-10,219,Shipped,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Medium
10369,41,110.12,2,4514,2020-01-20,179,Shipped,Classic Cars,214,S10_1949,Collectables For Less Inc.,6175558555,7825 Douglas Av.,Brickhaven,58339,USA,Nelson,Allen,Medium
10391,24,100.69,4,2416,2020-03-09,131,Shipped,Classic Cars,214,S10_1949,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,Small
10411,23,180.01,9,4140,2020-05-01,79,Shipped,Classic Cars,214,S10_1949,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,Montreal,H1J 1C3,Canada,Fresnisre,Jean,Medium
10424,50,240.02,6,12001,2020-05-31,50,In Process,Classic Cars,214,S10_1949,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Large
10107,39,99.91,5,3896,2018-02-24,878,Shipped,Motorcycles,118,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,Medium
10120,29,96.34,3,2793,2018-04-29,815,Shipped,Motorcycles,118,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,Small
10134,27,122.51,5,3307,2018-07-01,753,Shipped,Motorcycles,118,S10_2016,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,75508,France,Da Cunha,Daniel,Medium
10145,37,140.35,9,5192,2018-08-25,699,Shipped,Motorcycles,118,S10_2016,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,90003,USA,Young,Julie,Medium
10168,27,135.59,4,3660,2018-10-28,636,Shipped,Motorcycles,118,S10_2016,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,94217,USA,Hirano,Juri,Medium
10180,42,111.8,12,4695,2018-11-11,623,Shipped,Motorcycles,118,S10_2016,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",Lille,59000,France,Rance,Martine,Medium
10188,38,96.34,4,3660,2018-11-18,617,Shipped,Motorcycles,118,S10_2016,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,N 5804,Norway,Oeztan,Veysel,Medium
10210,23,130.83,2,3009,2019-01-12,563,Shipped,Motorcycles,118,S10_2016,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,530-0003,Japan,Kentary,Mory,Medium
10223,47,115.37,4,5422,2019-02-20,525,Shipped,Motorcycles,118,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,Medium
10236,22,129.64,1,2852,2019-04-03,484,Shipped,Motorcycles,118,S10_2016,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,Philadelphia,71270,USA,Hernandez,Rosa,Small
10251,44,130.83,5,5756,2019-05-18,440,Shipped,Motorcycles,118,S10_2016,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Newark,94019,USA,Brown,William,Medium
10263,40,111.8,5,4472,2019-06-28,400,Shipped,Motorcycles,118,S10_2016,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Bridgewater,97562,USA,King,Julie,Medium
10275,22,132.02,4,2904,2019-07-23,376,Shipped,Motorcycles,118,S10_2016,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France,Labrune,Janine,Small
10285,47,137.97,9,6484,2019-08-27,342,Shipped,Motorcycles,118,S10_2016,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,51247,USA,Hernandez,Marta,Medium
10298,39,96.34,1,3757,2019-09-27,312,Shipped,Motorcycles,118,S10_2016,Atelier graphique,40.32.2555,"54, rue Royale",Nantes,44000,France,Schmitt,Carine,Medium
10308,34,118.94,2,4043,2019-10-15,295,Shipped,Motorcycles,118,S10_2016,Mini Classics,9145554562,3758 North Pendale Street,White Plains,24067,USA,Frick,Steve,Medium
10318,45,123.7,4,5566,2019-11-02,278,Shipped,Motorcycles,118,S10_2016,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,70267,USA,Yu,Kyung,Medium
10329,20,158.8,2,3176,2019-11-15,266,Shipped,Motorcycles,118,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,Medium
10339,40,68.92,4,2756,2019-11-23,259,Shipped,Motorcycles,118,S10_2016,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,106-0032,Japan,Shimamura,Akiko,Small
10361,26,51.15,8,1329,2019-12-17,236,Shipped,Motorcycles,118,S10_2016,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia,Huxley,Adrian,Small
10374,39,135.59,5,5288,2020-02-02,190,Shipped,Motorcycles,118,S10_2016,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,South Brisbane,4101,Australia,Calaghan,Tony,Medium
10388,50,44.51,5,2225,2020-03-03,161,Shipped,Motorcycles,118,S10_2016,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,50553,USA,Benitez,Violeta,Small
10402,45,129.64,1,5833,2020-04-07,127,Shipped,Motorcycles,118,S10_2016,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",Paris,75016,France,Perrier,Dominique,Medium
10417,45,130.83,5,5887,2020-05-13,92,Disputed,Motorcycles,118,S10_2016,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Medium
10107,27,224.65,4,6065,2018-02-24,902,Shipped,Motorcycles,193,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,Medium
10120,46,201.41,2,9264,2018-04-29,839,Shipped,Motorcycles,193,S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,Large
10134,31,226.58,4,7023,2018-07-01,777,Shipped,Motorcycles,193,S10_4698,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,75508,France,Da Cunha,Daniel,Large
10145,33,156.86,8,5176,2018-08-25,723,Shipped,Motorcycles,193,S10_4698,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,90003,USA,Young,Julie,Medium
10168,20,209.15,3,4183,2018-10-28,660,Shipped,Motorcycles,193,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,94217,USA,Hirano,Juri,Medium
10180,41,216.9,11,8892,2018-11-11,647,Shipped,Motorcycles,193,S10_4698,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",Lille,59000,France,Rance,Martine,Large
10188,45,193.66,3,8714,2018-11-18,641,Shipped,Motorcycles,193,S10_4698,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,N 5804,Norway,Oeztan,Veysel,Large
10210,34,180.1,1,6123,2019-01-12,587,Shipped,Motorcycles,193,S10_4698,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,530-0003,Japan,Kentary,Mory,Medium
10223,49,199.47,3,9774,2019-02-20,549,Shipped,Motorcycles,193,S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,Large
10237,39,180.1,9,7023,2019-04-05,506,Shipped,Motorcycles,193,S10_4698,Vitachrome Inc.,2125551500,2678 Kingston Rd.,NYC,10022,USA,Frick,Michael,Large
10251,43,164.61,4,7078,2019-05-18,464,Shipped,Motorcycles,193,S10_4698,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Newark,94019,USA,Brown,William,Large
10263,41,203.34,4,8336,2019-06-28,424,Shipped,Motorcycles,193,S10_4698,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Bridgewater,97562,USA,King,Julie,Large
10275,36,191.72,3,6901,2019-07-23,400,Shipped,Motorcycles,193,S10_4698,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France,Labrune,Janine,Medium
10285,27,201.41,8,5438,2019-08-27,366,Shipped,Motorcycles,193,S10_4698,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,51247,USA,Hernandez,Marta,Medium
10299,29,230.46,11,6683,2019-09-30,333,Shipped,Motorcycles,193,S10_4698,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,21240,Finland,Karttunen,Matti,Medium
10308,20,228.52,1,4570,2019-10-15,319,Shipped,Motorcycles,193,S10_4698,Mini Classics,9145554562,3758 North Pendale Street,White Plains,24067,USA,Frick,Steve,Medium
10318,37,207.22,3,7667,2019-11-02,302,Shipped,Motorcycles,193,S10_4698,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,70267,USA,Yu,Kyung,Large
10329,26,225.7,3,5868,2019-11-15,290,Shipped,Motorcycles,193,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,Medium
10339,39,76.67,3,2990,2019-11-23,283,Shipped,Motorcycles,193,S10_4698,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,106-0032,Japan,Shimamura,Akiko,Small
10362,22,166.55,4,3664,2020-01-05,241,Shipped,Motorcycles,193,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,94217,USA,Hirano,Juri,Medium
10374,22,174.29,1,3834,2020-02-02,214,Shipped,Motorcycles,193,S10_4698,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,South Brisbane,4101,Australia,Calaghan,Tony,Medium
10388,21,86.77,7,1822,2020-03-03,185,Shipped,Motorcycles,193,S10_4698,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,50553,USA,Benitez,Violeta,Small
10403,66,180.1,9,11886,2020-04-08,150,Shipped,Motorcycles,193,S10_4698,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,WX1 6LT,UK,Devon,Elizabeth,Large
10417,56,164.61,4,9218,2020-05-13,116,Disputed,Motorcycles,193,S10_4698,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Large
10105,50,144.16,2,7208,2018-02-11,939,Shipped,Classic Cars,136,S10_4757,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,Large
10119,46,108.8,11,5004,2018-04-28,864,Shipped,Classic Cars,136,S10_4757,Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,5020,Austria,Pipps,Georg,Medium
10129,33,133.28,2,4398,2018-06-12,820,Shipped,Classic Cars,136,S10_4757,"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,London,WX3 6FW,UK,Brown,Ann,Medium
10143,49,114.24,15,5597,2018-08-10,762,Shipped,Classic Cars,136,S10_4757,Mini Creations Ltd.,5085559555,4575 Hillside Dr.,New Bedford,50553,USA,Tam,Wing C,Medium
10155,32,141.44,13,4526,2018-10-06,706,Shipped,Classic Cars,136,S10_4757,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,21240,Finland,Karttunen,Matti,Medium
10167,44,134.64,9,5924,2018-10-23,690,Cancelled,Classic Cars,136,S10_4757,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Boras,S-844 67,Sweden,Larsson,Maria,Medium
10178,24,145.52,12,3492,2018-11-08,675,Shipped,Classic Cars,136,S10_4757,Alpha Cognac,61.77.6555,1 rue Alsace-Lorraine,Toulouse,31000,France,Roulet,Annette,Medium
10186,26,148.24,9,3854,2018-11-14,670,Shipped,Classic Cars,136,S10_4757,"Double Decker Gift Stores, Ltd",(171) 555-7555,120 Hanover Sq.,London,WA1 1DP,UK,Hardy,Thomas,Medium
10197,45,118.32,6,5324,2018-11-26,659,Shipped,Classic Cars,136,S10_4757,Enaco Distributors,(93) 203 4555,"Rambla de Catalu¤a, 23",Barcelona,8022,Spain,Saavedra,Eduardo,Medium
10222,49,122.4,12,5997,2019-02-19,575,Shipped,Classic Cars,136,S10_4757,Collectable Mini Designs Co.,7605558146,361 Furth Circle,San Diego,91217,USA,Thompson,Valarie,Medium
10248,20,145.52,3,2910,2019-05-07,499,Cancelled,Classic Cars,136,S10_4757,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,Small
10261,27,125.12,1,3378,2019-06-17,459,Shipped,Classic Cars,136,S10_4757,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,Montreal,H1J 1C3,Canada,Fresnisre,Jean,Medium
10273,30,116.96,4,3508,2019-07-21,426,Shipped,Classic Cars,136,S10_4757,Petit Auto,(02) 5554 67,Rue Joseph-Bens 532,Bruxelles,B-1180,Belgium,Dewey,Catherine,Medium
10283,25,119.68,6,2992,2019-08-20,397,Shipped,Classic Cars,136,S10_4757,"Royal Canadian Collectables, Ltd.",(604) 555-4555,23 Tsawassen Blvd.,Tsawassen,T2F 8M4,Canada,Lincoln,Elizabeth,Small
10295,24,142.8,1,3427,2019-09-10,377,Shipped,Classic Cars,136,S10_4757,Gifts4AllAges.com,6175559555,8616 Spinnaker Dr.,Boston,51003,USA,Yoshido,Juri,Medium
10307,22,122.4,9,2692,2019-10-14,344,Shipped,Classic Cars,136,S10_4757,"Classic Gift Ideas, Inc",2155554695,782 First Street,Philadelphia,71270,USA,Cervantes,Francisca,Small
10316,33,125.12,17,4128,2019-11-01,327,Shipped,Classic Cars,136,S10_4757,giftsbymail.co.uk,(198) 555-8888,Garden House Crowther Way,Cowes,PO31 7PJ,UK,Bennett,Helen,Medium
10325,47,64.93,6,3051,2019-11-05,324,Shipped,Classic Cars,136,S10_4757,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway,Bergulfsen,Jonas,Medium
10337,25,48.05,8,1201,2019-11-21,309,Shipped,Classic Cars,136,S10_4757,Classic Legends Inc.,2125558493,5905 Pompton St.,NYC,10022,USA,Hernandez,Maria,Small
10350,26,75.47,5,1962,2019-12-02,299,Shipped,Classic Cars,136,S10_4757,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Small
10359,48,54.68,6,2624,2019-12-15,287,Shipped,Classic Cars,136,S10_4757,Reims Collectables,26.47.1555,59 rue de l'Abbaye,Reims,51100,France,Henriot,Paul,Small
10373,39,103.75,3,4046,2020-01-31,241,Shipped,Classic Cars,136,S10_4757,"Oulu Toy Supplies, Inc.",981-443655,Torikatu 38,Oulu,90110,Finland,Koskitalo,Pirkko,Medium
10395,32,105.33,2,3370,2020-03-17,196,Shipped,Classic Cars,136,S10_4757,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,75508,France,Da Cunha,Daniel,Medium
10400,64,150.96,9,9661,2020-04-01,182,Shipped,Classic Cars,136,S10_4757,The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,San Jose,94217,USA,Frick,Sue,Large
10414,19,145.52,3,2764,2020-05-06,148,On Hold,Classic Cars,136,S10_4757,Gifts4AllAges.com,6175559555,8616 Spinnaker Dr.,Boston,51003,USA,Yoshido,Juri,Small
10103,42,128.53,4,5398,2018-01-29,977,Shipped,Classic Cars,147,S10_4962,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway,Bergulfsen,Jonas,Medium
10114,31,138.88,8,4305,2018-04-01,916,Shipped,Classic Cars,147,S10_4962,"La Corne D'abondance, Co.",(1) 42.34.2555,"265, boulevard Charonne",Paris,75012,France,Bertrand,Marie,Medium
10126,22,152.17,4,3347,2018-05-28,860,Shipped,Classic Cars,147,S10_4962,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",Madrid,28023,Spain,Sommer,Mart¡n,Medium
10140,26,122.62,4,3188,2018-07-24,804,Shipped,Classic Cars,147,S10_4962,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,94217,USA,Hirano,Juri,Medium
10150,20,159.56,1,3191,2018-09-19,748,Shipped,Classic Cars,147,S10_4962,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,79903,Singapore,Natividad,Eric,Medium
10164,21,168.42,2,3536,2018-10-21,717,Resolved,Classic Cars,147,S10_4962,Mini Auto Werke,7675-3555,Kirchgasse 6,Graz,8010,Austria,Mendel,Roland,Medium
10175,33,162.51,9,5362,2018-11-06,702,Shipped,Classic Cars,147,S10_4962,"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,London,WX3 6FW,UK,Brown,Ann,Medium
10183,28,122.62,1,3433,2018-11-13,696,Shipped,Classic Cars,147,S10_4962,"Classic Gift Ideas, Inc",2155554695,782 First Street,Philadelphia,71270,USA,Cervantes,Francisca,Medium
10194,26,163.99,4,4263,2018-11-25,685,Shipped,Classic Cars,147,S10_4962,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Lyon,69004,France,Saveley,Mary,Medium
10207,31,131.49,15,4076,2018-12-09,672,Shipped,Classic Cars,147,S10_4962,Diecast Collectables,6175552555,6251 Ingle Ln.,Boston,51003,USA,Franco,Valarie,Medium
10217,48,146.26,4,7020,2019-02-04,616,Shipped,Classic Cars,147,S10_4962,Handji Gifts& Co,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,69045,Singapore,Victorino,Wendy,Large
10229,50,128.53,9,6426,2019-03-11,582,Shipped,Classic Cars,147,S10_4962,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Medium
10245,28,163.99,2,4591,2019-05-04,529,Shipped,Classic Cars,147,S10_4962,Super Scale Inc.,2035559545,567 North Pendale Street,New Haven,97823,USA,Murphy,Leslie,Medium
10259,26,155.13,12,4033,2019-06-15,488,Shipped,Classic Cars,147,S10_4962,Handji Gifts& Co,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,69045,Singapore,Victorino,Wendy,Medium
